7...A.E.....6G.2,..E..1...7A...D.,B.4....6..9.E...,.A.6...4..E2FB.8,EF..4.G5.D1.7...,...5C..D...G.8.1,1...B..7......G.,..7G.E.84.F3.D9.,.C9.15.ED.8.26..,.7......E..A...C,6.B.8...5..43...,...D.B4.23.F..8E,D.2156..C...G.A.,...B.D..G....F.7,.6...F9...3..5..,5.8F.....6.D...3
B.3.G1..67CE....,D....8....AB7.9.,.8....4F5...G3..,.6..752.......D.,....1...B..3.2A8,G..DAE6.9F5..4..,.B.5..D.E....1..,A......B...1C.F.,.D.8E...C......1,..B....7.9..6.E.,..7..DB9.4168..G,519.C..2...F....,.A.......E29..3.,..E2...C75....8.,.4.F27....6....9,....435G..FD.E.7
..4.........B8..,C51..B62.F.....G,.8.G...D.AC...1.,2D...G..B3.65...,.B..1...D......A,.36..5FC8....DG.,E2G5..A6.4.97...,.A7.4.2.....9...,...8.....D.2.3A.,...7D.C.35..4G2F,.CE....A19F..67.,6......7...C..9.,...BE.4F..3...82,.9...25.7...3.C.,G.....D.429..AEB,..26.........9..
...C...4B.8F.2..,13G....8E9...C..,....7F..6D.1AB..,..B...61A..G.4DE,..........3C...1,....2....8.5..FA,A73B.C....DE9..6,G.D....69.....2.,.B.....AC....5.9,2..A84....B.76GC,5D..B.9....A....,7...CG..........,9GA.E..B72...F..,..8F6.4G..A9....,..4...F93....EAG,..7.A8.24...B...
B...4.C..F...9.D,6.C......1..2.B.,..D1.F9B.....4..,..F..E.5.B7..8.1,.F........39.68.,8..7.6G.A.F.....,..BA..D7....FEC9,3....A.8C2.BD...,...G7.8C1.4....B,789D....63..EG..,.....5.D.AG.7..8,.B6.E4........A.,C.4..81.2.E..D..,..2.....F98.1A..,.D.9..7......C.E,A.G...E..6.1...3
.C.EG..35.F..4.D,2.A....5...DC...,D....8..6..1.G5.,...GE.9..3..F.62,...7..GED..42C..,......34.G2.7..6,.A...5..8..74193,......8.1A.9..D.,.G..6.4F.8......,C93B2..D..E...4.,F..D.3A.B2......,..84B..13D..5...,7B.3..D..6.89...,.F9.5..8..1....4,...5C...7....2.A,1.2..B.9C..G8.7.
A.2.E.7..3B.1.5.,.DB1...2.G.A...E,.E.....AD.1.C..2,C....G.492..B..F,.9...64.......B.,B......8A7..51.3,..3...25...89...,1.5..39.B.F6.CG.,.A7.D8.G.C6..B.9,...FB...7A...4..,9.1B..3CF......A,.3.......B2...F.,2..C..A31.7....6,G..A.1.EC.....4.,7...2.C.3...D51.,.1.3.7G..6.4.2.C
..19..D...AB..5E,A.F....1D.9...6.,.G.EF....3.....D,4..DC.9...F..8..,G..4.9..5.DF....,..D.3E1...87....,19.65.C..G...E..,.A2F.D.63.....G.,.8.....EA.1.5C7.,..E...4..2.8D.19,....D6...4C3.B..,....81.A..7.G..F,..5..C...F.98..7,B.....6....G9.F.,.4...5.F1....3.2,9F..A3...E..61..
..E4..G.2...8...,.B2.C...6G.F.5.7,D..A287...5..B4C,.F.5..4.......E2,...G1.5..4.E.8.6,8...7C....A....3,........B...5F2A,.....2B.D1F8.E..,..4.A58F.D2.....,F9D7...G........,5....6....94...8,A.8.9.2..5.3B...,95.......3..C.F.,C63..E...2154..D,4.1.8.C2...D.A5.,...D...1.F..E2..
.CFD.2.A..8..5..,.586.G...9.....3,4......7..5....G,...GC....B4E278.,....2B.....54F..,C9.8D.7.......G.,6.1.......7G...C,E.7..4.GD..3..9.,.4..5..CF.B..2.8,D...G9.......1.A,.F.......C.2G.65,..CEA.....36....,.A4C7DG....F6...,1....5..A......9,B.....F...2.5A4.,..6..8..C.G.D37.
6....D..1F...8A.,.E..4...C572F.G6,2....3......14.E,...F8.C...6.729.,9.......3......D,E...A..D.9...748,..62.7...B5.9...,47..G6.9..E8.1..,..B.6F..G.CA..89,...D.87...B.63..,82F...1.E..6...A,A......4.......G,.DE9.2...3.1G...,5.46......D....2,13.G7A6F...B..5.,.F2...DG..8....1
E..1...6C.8.....,5.2.G.D8.7.9....,.7BC...2..F...G.,D...4.......A.2.,.8.E51FC9..3G...,....3.......1.4A,..4..E2A1.D..365,13...8.....G..CF,B1..D.....E...54,C5E..3.GD9B..7..,3F.A.......C....,...D7..58124B.3.,.D.3.......8...2,.E...5..F...C81.,....C.B.52.A.4.6,.....2.14...F..G
1.2.CD6....A7..3,..B.15F...4.6E..,..6....3E72C4.9.,C.A........5...2,..3...41.C8...A.,8....9GA4..6..3D,G...2...1...E...,.5.....D.G.B9...,...FB.8.3.....7.,...B...C...8...4,6C..E..F741....G,.2...G1.CB...D..,7...D........9.8,.A.C36EGB....2..,..FG.B...D34.6..,D..25....6CE.3.F
FB..E...7..8G9.2,.64....5.C.G.8.3,8.A..G1.D..5....,.3....8.F.9..E..,6A.B9.4...E..2..,...1.3..8...C...,G.F...A..42...D.,....8.7.1..B..AF,EF..C..8.A.1....,.5...E9..8...1.6,...7...4..C.9...,..8..6...B.E5.2C,..B..A.9.D....6.,....1..2.58..C.4,1.7.6.C.3....AF.,3.6A5..G...4..7D
1...B........36A,...2..EDF.B..1..,6..A.17....4E..B,.C.4.83..9.1..2D,.4.39..C.F.D.E..,.2...6GF.B.5.4..,G...D.2.3..A..FC,...FA.4.G.....D.,.5.....9.1.C3...,F7..C..3.5.B...E,..C.2.A.43G...1.,..6.G.1.2..85.9.,8E..3.C..6A.D.4.,9..57....4F.C..2,..4..9.EDC..A...,ABF........9...6
..C.....G.1.A.E.,...F..4.2.B.G...,..3.G.8...A9F47.,D...6...7C4.391.,.CF3.7..1..B..G.,1........48.B3.A,...2.16....59...,..6EA49.C7.....2,5.....A4.867CG..,...A8....FC.7...,F.28.53........9,.B..E..6..2.5D8.,.A5D.8FE...1...G,.F1B96...D.C.E..,...9.3.D.A..4...,.3.6.G.B.....5..
741F58...B.9.G.6,A.9...D7......32,............8..7,..E.....287.491C,..F..9...4....2.,D..9...8.71.B...,...GC.BD6.AF..9.,E..5A1..C..D...4,B...E..F..846..3,.E..84.69F.CD...,...D.BC.5...E..A,.5....G...E..C..,9FA1.3EB.....7..,C..E............,32......41...6.E,6.G.F.1...93CDA5
.....7F.6.5.GB..,..G..81.....D.2E,1....6...F7G...9,..F.G.A.2D....43,D.8...6..B..5...,.A.F.G..D..2.43.,4..3B......CF..8,9G.B.4.58......7,B......3C.1.6.FG,5..94......EA..C,.DC.6..F..B.4.7.,...G..9..6...3.D,21....76.5.A.D..,3...E5B...2....4,6B.7.....93..E..,..DE.A.9.C4.....
A1GC.D587..F...E,....9.7..4.C.8.1,..9B.E..8...3C6.,.........A9.....,5..F8.6.DE.2...C,.CA...E.3.6...B.,......3B.C.G7E..,..36F.........52,29.........AC1..,..153.D.4G......,.B...F.A.3...7G.,7...B.12.8.9A..4,.....6F.........,.28D...1..C.9F..,B.C.4.8..9.7....,9...2..7154.8DCG
.F.D......8...5.,12...C...7DG.84.,.8E..B.....67.1.,B..7..6.A..FC...,.4...8F..A932...,..D..3.G7.....9.,5.A8D...G142F...,......2...CEG.7.,.B.194...F......,...AGE8B...459.1,.6.....51.E..2..,...E26D..G5...A.,...2B..6.3..1..7,.5.38.....7..AG.,.A9.3D7...2...B4,.C...1......8.E.
...2F....85.3...,....7.46.F.....G,EFC...B....9...1,97.D1E..CA.B....,.98.2B.AG..F..45,C4...D.5..1..8.6,.G....9.....C.E.,..6..1..8C.7...3,G...A.81..9..3..,.B.9.....1....6.,A.1..F..5.E...78,83..9..7A.FC.G1.,....B.5F..GD6.3C,F...C....2...9DA,4.....1.B9.A....,...5.8G....EB...
5.C...8....4...7,..BF.2.4.6.5.81.,9..8..E3.D..G.A.,.E......G.B...59,CB...8F...3...42,.....C4.6..E5...,73..G..1CA4...B.,..8.3..25...6...,...7...FE..D.6..,.4...6279..C..85,...9C..D.2G.....,D5...B...86...FG,GD...7.8......C.,.C.B..D.17..E..8,.83.E.9.B.A.47..,1...6....C...9.A
..9BE....C1.2.6.,.....7.2...8....,..G.F.36...59.D.,..3..G..92..5E8.,DC.5A2.3F.9.....,B....4.1...D3F.9,.1...BF.5..E..C.,9F7..8D...A.6...,...3.5...EF..9G6,.9..3..4.DC...1.,A.4F1...8.3....E,.....9.F2.417.B3,.7C9..8A..G..5..,.5.62...EB.A.G..,....B...C.7.....,.B.E.17....2A4..
...D.9....A....2,1..B.68...9C3.75,9CE...2......1..,...3F1.....BEDG.,..1.68..C.4A..9.,...4.....8..C...,..3...7FB.G.A..E,..G8C...62E.5.DB,2D.5.FE1...79C..,4..1.A.D89...2..,...6..9.....B...,.8..BC.2..D4.E..,.9DEA.....352...,..4......B...65C,G2.C97...A8.D..3,8....D....2.F...
9..D...5E....2..,..C...4..9.5.G.3,2A56..73..8..C..,3....A.1.2.67...,....6......B..3F,.1D.A42B6.389.C.,.....C1.9.......,F..C3.DG..E..7..,..2..6..35.F8..B,.......7.DA.....,.5.3C1.E48B2.A6.,A8..5......E....,...81.6.2.9....4,..9..B..FG..28DC,7.F.4.3..A...5..,..E....D1...G..A
..F.CG...B9.5...,536.4F.2...AE.G.,.G.....9...C....,A....6.3.E..B9F.,.......4B..51..A,..C.1..D..3...25,..A..35..6...47F,..4..92FE7..6...,...F..4B856..G..,46D...8..37..2..,39...C..2..E.B..,B..15..EC.......,.89G..3.D.C....7,....2...A.....E.,.B.AF...4.E6.38D,...5.1C...B8.6..
...1..3......2..,..5B..278A.4.6..,.DC.8..5......3.,4.8.A..C.9..G.5.,3.2.C..1B8AD.G..,....4.....G.....,...E.B...C.7.529,....F6..9.35B4A7,723CD4.F..8A....,D81.5.B...6.E...,.....G.....B....,..A.7E18F..9.C.3,.C.D..7.4..8.A.G,.A......5..C.3E.,..9.2.F41D..58..,..G......F..9...
D..G7....FBCE...,E473...........G,.2C.E4...1....B.,.9...F....A87...,.6E9AD.CF.41.2..,.CG.F.E.3...A..B,..4.3..75.9DF...,.D.5..6...8A....,....C3...4..G.7.,...4B6.A8..7.D..,5..D...8.C.G.F2.,..9.4G.DA.F61BE.,...72A....5...4.,.G....4...79.E1.,4...........5CA6,...6DB3....42..7
F152..4......9..,C.96E..D...G815.,4.....1F.5...2.B,.G.3....84..A...,...1G..2...D....,B.35..7.9.....6.,8.4..B9.6.......,..2F53E..7.A....,....8.5..F1E2D..,.......C.D9..7.F,.3.....6.A..54.9,....7...C..4E...,...4..BG....F.8.,9.G...C.53.....6,.E186...B..F45.7,..D......1..GAC2
..B.84.GCE......,.3.E...........F,84.G3...D5..6.1B,..9...F7.4.83.G.,F.C.73E.4G.....2,..A.BF...8C.1.5.,48........AB....,D.2B.A4.395.....,.....E74.6G.2D.9,....95........46,.6.2.D1...47.8..,E.....C2.BDA.7.1,.C.42.5.G7...1..,G1.3..9A...54.8D,9...........B.E.,......G6E.14.9..
..3...1..4...B.9,.6..DB....E5F...,...9685...D.3..2,.D.....4.G.C...5,.5.1A.D.....B8.7,..C..F.2..19..E6,......8....F.9.A,9.2.3.6E8.A...D4,F3...E.C4A.6.D.1,5.9.4....2......,CG..B2..3.5..7..,4.8D.....C.1E.2.,3...E.C.D.....1.,B..4.6...9C38...,...A29....8G..C.,D.G...F..5...2..
...E..7.C.39A8..,1..B9........G..,6.....3.1.GA....,C.7..GF.E8B....5,BA..G...4..FED.8,2.5..DE..BC.G..F,.....C....A.1B.3,......5...2.67A.,.1F2.3...E......,8.4G.5....6.....,7..9.A6..C1..5.G,5.6C2..F...G..7A,4....FB3.79..E.1,....8E.D.F.....2,..1........CF..D,..D7C2.9.4..3...
.F.D..1..G..A9.C,.....4.2..F..7B8,.7...8..DC2.....,4B...D.......25.,12..5.D.B67..EC.,D..871..93C.....,3..G9.6...1....D,CA7..G..4..8...1,A...G..9..E..5F3,G....6...F.94..2,.....E2A..31C..9,.39..F4D.A.5..1E,.D8.......6...EB,.....9CE..4...A.,2GA..3..F.8.....,5.C7..8..2..G.4.
.27.B5..A..8EC..,.46.G9...D...53.,.......A9F3..1.6,E..9.3D...B...8.,C.D..A6.....9E..,...1...E.B9....D,.6.......7.3G.A.,.3.G5D28.E...7..,..2...3.B9FEC.G.,.9.3C.4.......2.,5....2B.C...1...,..CE.....64..D.5,.1...C...8E.6..F,A.F..8943.......,.EB...7...56.4C.,..3C6..B..79.85.
..2.E..8D......F,.4.E2..D.7C5..8.,G.F86.C.4.12..53,C.....51...G2...,41E58.9..D.F....,.9.G.....24..56C,F......5CG....DE,6...B.D....E4...,...1D....8.6...2,EG....B47......8,76A..E8.....5.G.,....G.2..5.1BE7D,...C3...56.....1,95..FD.2.C.AGB.6,.8..5BG.E..47.C.,2......CB..D.F..
...3...1.FA..B52,.1..D.....E53..8,.....2B.13.8.F.C,....3.C.G...A.6.,82.....C.....D.E,EAF......4.C29G.,..6....G.D.F83..,...9.....28.6.4F,93.5.E2.....1...,..B8G.6.3....A..,.62F1.3......7B4,D.G.....2.....E3,.4.G...6.8.D....,5.D.F.A8.G9.....,6..A5C.....3..1.,7F3..BE.4...5...
..8.E1.5C.G4AB..,.945..FA...B.1.3,..1.B64...2.....,......2.5...4.9.,.1..5F.2..E7....,...A.D1.4B.6.837,.5....A.......E.,G..7...6AF..D.4.,.D.B..G7F...9..8,.F.......8....D.,A85.F.CE.G7.1...,....65..1.AE..F.,.A.1...B.C......,.....E...A98.G..,B.C.D...GE..647.,..D632.47.BF.C..
.G5.3....A......,B6.A..F.2.G.....,.F...D.457..AC.B,2...B6..F.D9.G.3,.A..1B3..C.....F,..1....F.9.D....,7..E.2....FA13.4,.C4.7..5.B8....6,C....AG.D..F.67.,1.AG43....C.F..D,....F.E.8....4..,5.....C..4A3..G.,9.6.51.D..2B...E,A.GF..B29.4...6.,.....G.E.F..2.97,......A....6.18.
...6....7.E5..1.,...9.GB7.F.65.4E,.7....8...4.....,...G..462...CD..,A....B.5.E3.24D.,..F54..8.6....93,..9.....4.5D..G.,2E..G....C17..65,8B..9DA....3..EG,.5..82.B.....7..,D3....5.E..1B2..,.147.63.B.D....9,..AE...DF9..4...,.....8...1....F.,B4.85.F.C7G.9...,.F..64.1....E...
2F.G......6....E,....F1E..4....59,..1......2.....7,.A5....4.G.BFD6.,..FE.62D.9.....8,.C.....F.1GA...2,.5..C..G3.D8..1.,..D637.....4...5,3...B.....9EC2..,.7..DA.9F..2..B.,G...426.D.....F.,A.....3.6B8.E7..,.4G2E.C.1....9D.,B.....9......F..,58....D..3B7....,D....5......8.26
.B..5..F..9E1..4,E.9....6..F...G2,.GD5.B9...6.3E..,...F..4.3D...6..,9...3D.4..57..18,B.83A..C..D....7,F....5E.B.4.....,.42......CG.E..9,4..2.3F......1E.,.....E.1.43....5,8....7..C..2GB.D,7D..8G..6.EF...A,..B...5E.3..8...,..4G.C...17.926.,C1...6..D....7.3,3..914..G..B..D.
.C.4..BD........,7A..C...G.......,19..G...3..C.EAB,..GDA..3.2E5..F.,.2.1....F5B.D.6.,...G..DF..4..7..,6..95C..7...B1..,.8.F....A3.....4,5.....8B....F.3.,..9E...G..1F8..5,..2..5..B6..7...,.1.7.93A....E.2.,.G..4FC.5..1A6..,4FE.B..2...3..D1,.......E...A..79,........6C..3.B.
..BG.4..5...3.96,3....9.5........,62..FE....C4..G7,E..1..3..8....4.,...217..G..CD...,..G.9...237...E.,.9.7...D..B.F...,F....3AG.9DE.271,BE7.4AD.853....G,...3.5..A...6.B.,.1...G83...B.E..,...42..1..G68...,.7....C..1..5..B,98..51....43..DA,........6.F....C,25.B...A..9.43..
.1.2....6.FC....,..B...1.D.....CE,5...D.E.2.9.4.F.,C......F75E.D...,9E.4.8.....FA...,B.6.9.....D.E..C,..GF.5.BE96.3...,..8..EAC341..5..,..F..2CE167..D..,...C.98A4.B.76..,4..6.D.....2.C.8,...D4.....8.G.93,...5.A32F......1,.8.1.4.9.G.5...D,G3.....D.8...F..,....8G.5....B.4.
7...9.6.D82.1...,1......5....GB..,.5..7A...9......,.2D.G.B..6F...5.,..6.3C4...A.9...,8..F..9.2B....4.,G.........8.5...,.AC21.8..D5.76.G,9.7G.F2..3.4A5B.,...D.5.........E,.C....A6.5..F..7,...1.E...A67.4..,.4...91..2.C.GF.,......F...16..3.,..29....3......A,...6.GE7.4.A...2
.E.5.....83..CA.,4......8.F.CD3..,....F4..7.2....E,F9..3.G.1.D.....,...EB.8.G....D.9,...8.EF...6...5.,.5.7D...2.E.B1..,.C....7A...8.G.F,A.8.4...BC....E.,..EF.9.G...27.C.,.2...B...EG.A...,5.B....F.D.36...,.....G.B.7.A..38,8....6.C..94....,..A4E.1.C......B,.BD..34.....G.6.
..ED...95.1.8BG6,..5..D..E2...3.4,.24.3.5..FA.C...,..G...1A...D..59,1.A38...7...9..C,.D.C..F4.82.....,....A.2.D6.....G,.........9B...A.,.G...FB.........,3.....46.7.2....,.....78.95..2.E.,E..1...2...4D6.F,D6..4...2A...G..,...5.8C..4.B.71.,8.1...3B..9..5..,4C2B.1.78...6F..
.......93..G5...,3....B...7...DC.,.....85D....4..B,.4.93A..F.B172.6,6.7..4..G1.8..2.,BD1F...C4.27.E..,.....1...DE..5.3,E9..6.......8...,...3.......4..5A,D.C..91...8.....,..G.F7.4A...DC69,.6..D.E8..F..G.2,G.941D.F..CE3.7.,F..2....B8G.....,.1B...A...4....D,...D8..27.......
...6.9.G...25A..,9.D.2B4......E..,.34.1A.E7....F..,.A.B..3..F1....G,...7.8..C....5..,1G5CB.....E...8.,.E.F7....3..2..A,A.6DG..4.5...1..,..F...2.9..5E8.6,E..A..7....4C.5.,.B...E.....7AD49,..G....3..D.7...,8....7G..1..F.E.,..2....6G.F3.4C.,..1......25D.3.7,..3G5...6.B.8...
....6C.4..B...A.,F.83AD..1.C....9,4..G...F9..E1.8D,7...3.81F....E..,..5......G..A.F1,.9.BC3.D.F4...EG,D......A..9...5.,..7..G6..E...C..,..F...4..2G..9..,.4...8..E......F,9D...25.A.1B3.C.,26.8..7......A..,..D....941.3...6,18.94..2B...G..E,6....5.E..7G91.A,.3...6..D.A9....
.A.......2D....1,2E.G...4...97...,..4.8.G.1.3...6A,6...C.B27.4..G8.,.FB4..D6...7..C.,3C.....5698GEB..,E.D.18..........,5..9F..E......72,G8......9..D1..6,..........CA.7.G,..1B5AEC8.....D3,.3..2...B4..859.,.2F..D.BE6.8...7,95...C.1.B.4.6..,...6E...C...5.19,C....F6.......E.
...C.92.........,....3.....C.8DB7,E76...5.....F1.2,8921..F.5...G.6.,2....3B..5.6..89,..A8E79...3.....,..B....1.G.D..5.,...G4..D..9.7B.3,4.G7.E..6..3B...,.F..5.4.9....C..,.....8...BF169..,32..6.G..A7....D,.8.F...B.E..563G,D.56.....3...71F,7G43.D.....C....,.........7B.4...
6D4..8GA517.....,1AG5..4CB..9....,.....1B.D.F.G...,.FB.2.....G.....,4BDG.....E....7.,..E..A1..3....FD,8.7.3...GD..92.C,3.......1.5..8.G,7.3..C.9.......1,5.FC..73...D.E.8,2E....F..G4..A..,.G....8.....67D9,.....B.....1.95.,...B.2.8.5A.....,....G..53C..B42A,.....9E1472..G6F
A.3C8..41F.B....,....B......CD.3.,249...7..A...1..,.....9E...6..F.C,...B5..C8...3G..,..D8.4..BC...569,C.5.A.6........D,.G.3F7.E...9C..4,9..EC...3.G1F.7.,G........7.8.9.5,43C...81..9.GA..,..62...GD..A1...,5.B..D...31.....,..4...A..6...EDF,.6.91......4....,....2.B7C..584.1
.3.B.598E.2.C...,...C7.....8D..G.,4...1...G..B..9.,...2FG.C..7..8.3,..51...4..GE6.F.,..7A2..D58.39...,.......9.FD1.32.,..3...7.6...8..D,7..F...E.3...D..,.D2.C76.1.......,...E9.BF2..GAC..,.C.5DA..F...E1..,5.A..4..7.F83...,.6..B..7...A...9,.8..5D.....94...,...G.9.AD25.7.B.
...9..5.C7D261..,.1.4.....G.A.9.B,C..G..B3.51..D..,2D...E...B.4F..A,..A67.E1583..49.,DE..9......1....,.2...G.5....8A..,.....8...9AB..2.,.4..617...G.....,..91....F.7...B.,....C......8..74,.7G..B8E1D.623..,1..8E.6...2...57,..E..71.A6..4..3,A.2.F.4.....E.1.,..7C832A.1..9...
87....F...GE.4..,....E81..2......,.9..G6..8..B...A,.C.1..7.65.F..8E,.EB5.9.....7GA.F,2.3.F.D59...7..8,..9C....56......,7..6....2.E...5.,.F...B.C....9..G,......G7....FB..,B..9...3EC.D.5.7,D.572.....9.4E6.,62..4.9B.3..8.7.,G...5..1..49..3.,......C..DA2....,..1.3F...B....45
..BC3.4..1.9G.8.,56471.....D...F.,G.............B7,3A.1..D...67.2..,DB..9.E..8G..6..,..2..4.1...E..5.,..A..65...1C..G.,6...C.....9D7..E,C..EB1.....G...4,.F..5G...BA..1..,.8..D...E.F..A..,..5..E2..C.3..7F,..8.E9...F..D.61,E5.............G,.7...C.....5294B,.1.G7.3..2.8AF..
..FA.B32....9...,....9..F.25..CG.,.B2..4.EG37....6,57...CD.F....1..,.98.......FD1..C,2.DE6....1G.4...,...4..1D.6..8..F,.5A.....E.3....7,A....3.4.....78.,6..3..B.2G..5...,...8.FE....13A.B,F..572.......91.,..1....5.8E...49,D....E8A7.1..F3.,.36..1G.C..2....,...9....3F4.B5..
..5E97.G8....AD.,.B..D.C.G.......,..8...154B....C.,..A..E...5C73...,.3...G.E.4..1.6.,6......D....F.94,F.B.C9..3...A7..,A1..24.....6C..G,1..85.....9F..B3,..2B...4..3C.F.5,36.5....1......C,.C.G..F.7.B...2.,...6437...1..8..,.E....B9CA...G..,.......2.6.B..5.,.91....6E.D8B3..
...2.GA.E.....4.,F.....E......G.A,.....6..8.25BE3.,...G2.45...1F6..,G.F.4..C5..B.D..,.B.....7..9.5F..,.6.1.D...7.C..B.,.AE.F5...86..2.3,E.2..96...G4.58.,.C..5.7...1.6.2.,..D3.4..9.....7.,..G.3..A7..2.1.9,..4A1...D3.9G...,.F1982.E..B.....,6.B......C.....7,.5.....9.E7.4...
.C.34.F1...G....,2...87.CA3....D.,AE...6G.....7.4F,5F.....981......,D5.8..93.B..2...,6.1GAF....5..93.,.7..G1..........,3..A.57..F..46G.,.4F5..E..81.6..D,..........DA..F.,.82..4....F91G.B,...1..3.5E..9.82,......17F.....B9,4G.F.....CA...26,.D....A84.36...C,....5...7G.8F.1.
...B...A..1E9...,5.AC4......D...1,4132.9..8.C...5.,.6.DC...A2...34.,3A.5.C.7.8......,9.7..1A..GF.5...,.DC62...E.B7....,E.1.3.4...D....2,B....4...E.A.G.5,....B8.D...619E.,...1.39..75..B.6,......5.9.G.2.AC,.5B...74...1D.C.,.3...B.C..6.E51G,8...1......5A6.7,...75A..B...4...
1..7......35..C.,...B.FD.A9E.472.,..9.C5...B..6..8,...84..B7..D..1.,2..6.3...5.E7...,E...78.......D3F,.1895.....A.2..6,......E62..1.4.C,B.2.A..9C6......,9..E.G.....8CFB.,C4G.......7B...9,...36.B...F.D..2,.9..8..26..4E...,D..4..C...5A.8..,.C1A.B45.D8.F...,.3..E6......9..5
C..8.....1.6...4,.A.5...B..CG.1.8,BF.3..8..E.5....,1......49D...6CB,.4....9E..237F.1,.6.....7....4..3,.....3...G..8C..,35..DB.AEC...2G.,.E7...52C.3D..AF,..FD..C...B.....,6..B....2.....D.,5.1GED..74....2.,E93...251......C,....G.6..9..3.15,7.G.F9..8...B.4.,A...C.4.....2..7
G....C4A7.15....,...3..B.6G.95.7.,2......7..B..1.3,.EB.......A4.6..,3.......4..GF...,.D...8...95.1..7,695..D...E.F..38,A...6BC2..8..G..,..3..4..DCE7...1,4A..C.1...F..EGD,B..E.39...6...F.,...28..F.......5,..8.75.......D1.,9.D..A..B......F,.2.B1.D3.A..C...,....F6.E9D3....G
A....9.21D...B..,.F9...3C...68.7.,2....G..F...94.3,.DB..1......2...,.E...........7.5,4.8.9...B.CG..6F,C.3..E...9.8A2.4,B...C..3D.27.G..,..C.D8.97..3...A,3.G7E.6...F..9.B,E2..75.1...B.F.8,F.6...........5.,...8......E..D4.,6.53...B..7....2,.4.92...81...63.,..2...783.6....9
..F..C4.EG6.7..3,4D3..G5....B1...,..2......34.....,.G.E.8.7...D..C.,..965D...4....B.,..4....C8.....A.,8B.57.FA9....432,D.....24G..5E6.C,1.B8C..5AE.....9,967....1B2.3F.8A,.2.....6C....E..,.5....3...89BD..,.A..D...1.9.4.G.,.....7C......2..,...2E....8B..375,E..B.5AG.63..1..
.2....7....D...5,.91..3.......6.A,3C...A.926G.....,7..8..5..19..3.D,.GF.7.....B..E.8,.B...4A.7..6....,...6...E8AD2.9..,..27.6.B3..E.1.F,E.3.4..5C.7.DA..,..D.6193A...G...,....A..G.B4...8.,A.5..C.....F.7B.,1.G..FC..7..E..3,.....E6D1.A...49,8.7.......E..FA.,6...5....3....1.
.48....29.C..EA.,...17.......B6..,..B.6..F.D4...82,9...13E.5A.....F,.G.9D..BF3.1..E.,....E...B.GD9.7.,.E.42...7...F..G,F.1..97.2E....6.,.F....6A.71..4.5,B..A...1...56.3.,.3.C4B.5...A....,.1..C.F74..BA.G.,4.....C6.15E...B,AD...G3.6..2.F..,..3B.......9E...,.56..1.9A....8D.
....C.6..EB.8.3.,.G.2...986.3...E,..6B.D.A..7...4.,C89..3.......FBG,61B....73......9,35C..........7..,...4DA3..9......,G.A.9..CB147....,....8EA4F..5.1.7,......1..AECD...,..F..........564,E......34....A28,A95.......2..8EF,.6...9..G.F.7D..,1...A.2E6...4.C.,.4.3.85..7.D....
6D....4.B87.F..2,...9..5.DF..4B..,..C4.......6.1..,3..E..A61..45.9.,4ED.6.....9..275,...B...1..8...A.,.C9.5AB.4.D.6...,...FD.....5.B..9,8..C.5.....A2...,...3.F.8.6C7.9D.,.2...C..9...1...,FA4..9.....2.75G,.5.6G..924..3..7,..F.3.......E6..,..82..FC.B..9...,G..1.7E5.9....2F
G.....2..4.F..CB,F.5.D......2A3..,.8..6GB.E....F57,..4...7....G..9.,..F.17.DB2....A3,2.C.96....4.B.F1,.6G...5.....7.2.,...8...E..7..9..,..A..F..D...2...,.G.6.....E...14.,75.F.9....23.D.A,3E....64F.1A.B..,.A..2....7...G..,EC9....7.1D4..B.,..B5F......C.8.6,4F..C.1..G.....5
...2..4....E..F6,E...B..D....G53.,.4.G..2.C...D...,D..F.C38..9...E.,CD4..8..GF.1...5,1..6.B.43.A.7..F,AB....5F.2D..96.,......A3..8.12..,..D7.3..9C......,.E8..AB.25....7D,F..1.D.2E.3.9..B,6...8.7E..B..A2G,.5...7..FG1.2..4,...D...B.3..6.C.,.C6B....8..9...A,29..1....4..E...
.....1...2F3..9.,3E..9.....4...2D,B.5.G2..8....4A.,A2...4.657.....E,63....A..C8..E4.,....6..2.....F8.,.....CB4G..5.21A,....E39.....6GD.,.5B6.....D9G....,F4E.1..7A3B.....,.G3.....F..7....,.97..D3..E....54,4.....189.7...32,.69....A..GE.B.5,DF...B.....1..G8,.C..596...2.....
..CA...9.4.1.6.8,...2...4....E...,5....BG.7D2....4,D4....786.CG.23.,..6..FAG...84..9,........F.64D7.G,9..4..6D..AB.1.F,E82F....C.......,.......C....7F63,6.7.3A..B5..9..2,F.B31E.7........,1..C6...8F3..A..,.7F.89.53A....E1,2....4E6.1B....D,...E....2...A...,4.9.2.F.D...3G..
9B5.2..3...4C..D,..8F.5..9..6A..B,..A..4.1E5.79...,C....G.8.B.....4,..7.A.8..C.G53B.,.G.5.7C..2E..D.1,E....D..........,..C....E38....92,63....G91....F..,..........5....A,7.2..E3..96.1.4.,.5G1B.7..4.E.C..,D.....F.7.8....C,...69.AC4.2..G..,5..81..7..G.E9..,G..CE...F..3.268
