..8....C..5A,.B...7..32.4,...5....8.9.,.85..67A...3,B1....C45.8.,6.C..2..A...,...B..6..3.C,.9.6C3....27,1...254..8B.,.3.1....2...,2.B8..3...4.,47..1....A..
...951...6..,...6...42...,2....C.A.1..,C..5.A...43.,...7..39...B,13.........7,8.........64,3...16..5...,.BA...2.8..1,..C.4.1....2,...BA...6...,..6...7B4...
..B713.56.48,...3C.......,.46..B....5.,4..268..97..,......9C.2.6,.5.6.1.....C,C.....3.4.6.,A.7.82......,..41..592..A,.1....4..59.,.......B8...,98.45.C2A1..
.......51C.6,C.9.1.6.A.4.,....A..C.B7.,53.......1..,8...6.7.5..C,B72..C......,......9..658,6..2.B.4...1,..3.......B4,.48.C..6....,.2.C.9.7.3.5,A.593.......
.8...56..4..,..42.9B.8A..,.CB..8.....7,.9.....6.BC.,...49...28.A,.67C...1...9,8...C...96A.,1.A6...2C...,.4C.6.....7.,9.....5..C4.,..58.64.A7..,..3..CA...8.
.9..4..B.21A,....6.2.5...,..25...A..4C,..C9....28..,......6..39.,3...B....C5.,.C1....8...B,.89..7......,..B2....87..,87..3...A4..,...C.2.7....,2A3.5..9..B.
..78..43AB..,...A..8.....,...BAC....3.,A1C.9..6.42.,..B....C....,6..5...2.7.A,2.8.1...3..B,....7....1..,.C9.3..A.846,.4....256...,.....B..5...,..5784..2C..
.7..436..2B.,..4..9......,.3..B..C...8,A....C...B..,.2C.7...54.A,...9.A54..C6,34..671.9...,C.72...9.15.,..B...C....3,B...C..1..7.,......3..9..,.85..69B..3.
.2...7......,....AB...3.1,B..A...478..,7.....2A5.1.,....B.783.C.,..2C...3B..8,A..23...4C..,.C.B1A.2....,.3.654.....7,..176...8..A,2.3...BC....,......A...4.
.5B.74....6.,712.6.3.C.84,....8...A...,5.........1.,.B.3.76..4.A,1..4.5.9.37.,.89.2.5.1..3,6.5..3A.8.2.,.3.........5,...8...C....,37.5.2.B.8AC,.6....78.95.
.2.6..B...87,7...C..2...6,.3C...8..A25,.5...C.....1,8........342,..7234......,......A584..,BC8........A,2.....C...1.,982..6...1A.,6...1..7...9,54...8..7.3.
..6.7....B.4,.......37.89,5.72.9..3..A,2.5....8.9..,.8...A..B..6,36...21.....,.....43...B2,A..7..9...4.,..4.C....A.3,7..C..8.63.1,62.49.......,1.8....B.4..
627...B.....,...C.7.2.93.,..9A..3....B,..8....9A36.,......85....,.749.1A..8..,..C..A5.84B.,....79......,.1B28....A..,4....3..5C..,.C6.B.4.2...,.....C...648
...752.....1,61.3...A.4..,..BA.3......,.B1..A...5.6,7..6B.5.81..,..8.1...A.2.,.3.1...9.7..,..6C.4.B1..3,A.4...3..B6.,......4.9C..,..9.C...3.48,4.....957...
19...4......,.2C...8.7..9,..A.C7..1...,.C....1...B.,5....6C9.8..,9.B328..C6..,..9C..52A4.1,..8.9BA....6,.4...C....5.,...1..BC.7..,B..A.2...C9.,......6...3B
2.9.5.A.....,6.....91.B27,.3.........6,..1......8..,.8.A7....4C.,94..3.2..6..,..C..1.6..83,.5A....3B.7.,..8......5..,5.........B.,1AB.87.....5,.....2.5.9.1
.1..4..A7.9.,325.7..9..A.,.....C...B..,......37.A..,B.27....4.1.,.9...4.2...5,9...B.7...6.,.B.2....38.C,..1.A6......,..C...9.....,.7..2..8.5C6,.8.6C..1..2.
......8.29.C,...7..A...53,...2..95.6A.,B7.A9....C.5,9......1...8,.3..B8...76.,.21...B4..7.,3...C......9,7.9....AC.81,.1A.74..3...,6C...A..8...,2.75.C......
.5..8.......,..8...2..4..,.9.B..5482C.,..769....C2.,C8......A..4,3....A7C.B.8,8.9.C53....2,6..1......5B,.4C....769..,.A5834..2.1.,..1..2...8..,.......9..B.
.B..8....4.1,9A4.1B.....5,.C.1...6..BA,A5...4.9.7..,..B.7C.....9,49....B2....,....63....2B,C.....41.9..,..3.A.C...47,17..2...9.8.,2.....54.B76,3.C....B..1.
.8...6.B.3A.,2....5.A....,61..7.......,..3....1926.,492.6....5.C,1..6.95....3,3....B9.1..4,A.9....6.C8B,.2B8A....9..,.......5..97,....C.A....5,.36.9.7...4.
..C.2.....76,6..8..3.C.9B,5..37.....8.,....93.B....,.6B.C....5.4,..35.8....A.,.2....9.A6..,B.7....6.C2.,....5.72....,.3.....54..C,74.A.6..2..3,28.....3.A..
.........4.5,3..6...12A7.,.....2B....C,.1.75..B9.C.,...3.A..1...,..B5.92.A..4,B..8.CA.69..,...2..8.C...,.5.4B..68.2.,2....13.....,.69B2...7..3,1.7.........
.....9.6..1.,72.A..8.....,.415.7B.8.2.,...B5..7...6,...4.6...3..,1.39.......C,2.......4B.8,..5...7.2...,C...B..21...,.7.8.23.5A9.,.....8..C.62,.9..6.4.....
.......14.8C,571......BA.,..4..8.....7,....84.....3,.1A....C2.4.,..C7...3.61A,1A6.5...8C..,.3.B9....47.,2.....68....,7.....3..2..,.6B......839,34.5A.......
.3..92...C4.,B8.71..C.3..,...C.....8..,C2.46A.....3,...B4......5,......7....2,6....C......,A......37...,2.....178.9C,..3.....2...,..8.5..19.AB,.BA...69..1.
7......86...,3.5.6.7.B2..,.82..A.9..5.,...5.B.....8,........A..B,..6.7.2C1935,9C8317.B.6..,5..6........,2.....9.8...,.5..8.C..7B.,..4B.3.7.5.2,...25......1
.46.9....51.,8..9.75.....,..51...28A..,.178.36.A2..,2.....C.....,..3A2....6..,..C....A38..,.....6.....B,..12.53.69C.,..94C...51..,.....49.C..6,.28....B.37.
...3.6.C4..5,.4217.8B....,.....3....6.,.65...2..9B.,89B...6A51..,...2.......C,1.......7...,..951A...324,.8A..7...5C.,.B....3.....,....B8.6C47.,4..85.7.9...
.7..C96..3..,....B7.3..1.,..43.....6.9,..2.6...47A.,...7A...9..B,.A.69.......,.......B1.3.,1..2...8B...,.365...2.8..,5.3.....AB..,.8..2.1A....,..A..856..4.
..8...4.....,.1.C.65...8.,67.A.9..B.5.,.A.....8.6.5,7...5C.....1,..6514.A8...,...87.1B49..,1.....C9...8,A.C.6.....2.,.3.6..B.7.94,.2...79.1.6.,.....8...C..
..49.17...A.,B...6..2....,..8.B.4.9..6,..91.....A..,.26...C.7..1,3.....27B...,...389.....A,9..5.C...61.,..7.....38..,8..7.2.C.1..,....3..5...8,.C...B1.47..
7.B.CA.2.6.5,3....8....24,...4....7...,.B92.6..8..1,C.4..9.3....,..56...B...7,5...1...A7..,....7.6..8.3,6..9..2.15B.,...1....5...,9A....1....2,4.7.8.96.1.A
A.C...5B....,.64..32.....,.3.......A.7,3B..98....7A,.4...2.C...3,..51...A469.,.178B...53..,9...3.1...C.,BC....72..81,4.1.......3.,.....79..84.,....4C...1.9
5.2.C3..A..4,C.A...89B.63,..7....4C..8,A.....18....,.5.16C......,2.9......C..,..4......3.9,......437.B.,....96.....2,4..B8....5..,72.635...8.1,9..5..27.6.B
.1..B....3..,65.2..81..C.,3...6.......,7....5C.8A..,C...1A...9..,A31....82...,...48....1AB,..5...A6...7,..7C.1B....9,.......A...6,.8..57..C.21,..2....B..9.
9..74......2,.2......A..3,B8...25...C7,6..C9...3...,..53.1B.7...,..7....46A1.,.56A7....B..,...1.B8.C7..,...2...15..8,46...37...A1,7..9......5.,1......54..6
.245.C.8.B..,13...7......,..7C.5...A..,.8..49..7...,.73.8...9..2,.5...6...4C.,.95...7...8.,C..3...B.74.,...7..C1..9.,..9...1.56..,......4...B8,..6.A.5.1C7.
.9.C.1....8.,46...8...5..,.82....6.41A,C....529...1,1..8...A3...,.2...4.C..B.,.C..B.6...A.,...9C...1..6,6...395....4,97C.A....12.,..1...7...3B,.B....1.5.C.
...8.4..B.1.,.....2.1..9.,.5.1.86.72..,36B....48..1,8.....5....2,.C...6....4.,.4....A...2.,B....1.....9,A..C5....634,..9A.B4.2.5.,.7..8.1.....,.3.6..C.4...
.A.8....2...,.2B..1.6.7.9,6.5..A.2.B4.,C..A2...B.91,....A...7...,.94.6....5..,..2....7.38.,...9...3....,7B.6...AC..5,.4A.7.C..9.6,3.8.B.4..A2.,...1....4.B.
A.....1.78..,.5.84...A..1,.......AC.4.,....2..8.7.C,.42B.1...A.9,..3...AC..B.,.2..1C...3..,8.7...6.25C.,6.C.7..4....,.9.AC.......,3..4...79.2.,..65.3.....A
.8.2.7.A6..3,956....8.A2.,B.....24...8,.6.A..C1.8..,134.2.......,.....A6.....,.....97.....,.......5.49B,..1.BC..2.3.,A...62.....1,.49.1....782,7..14.5.B.6.
7B...5.C8...,..C...2.6..A,9...6.....1.,.A.B34......,..3.B..59.2.,.C1.9....3..,..5....1.27.,.4.C7..8.6..,......924.8.,.1.....B...7,6..2.8...9..,...9A.6...31
.4......6...,.1A7..2...83,..B96.A.4...,5...3....2..,.2.B5.79.C..,.93C..6.7..5,1..6.A..845.,..9.81.C2.A.,..2....B...1,...8.2.6A1..,C3...9..5B2.,...2......C.
....B..34A..,A...2.46.79C,.....7C.B8..,1..25..9..8.,495.......C.,..6...1.....,.....A...9..,.6.......3B2,.5..C..47..6,..34.52.....,512.64.7...B,..B71..C....
19..7.......,.B.2..A.7...,.C.659...1.3,B.C.34.9..8.,......C..46B,3.1....2....,....9....8.6,526..8......,.1..4.73.B.C,A.7...465.B.,...3.5..6.7.,.......7..A1
4..BC...3..A,.76..3......,...A.52.97..,6B....3C....,.4.....A69..,.A1..6....4C,39....1..AC.,..758.....9.,....49....53,..4C.A6.2...,......C..83.,2..7...8B..5
..C.5..8..4.,..B..3.9.8..,..A3....1C..,C.4..6....7.,6A923.....B1,....9...C2..,..59...4....,43.....6A985,.2....3..4.B,..1B....27..,..2.B.8..A..,.9..4..C.B..
B...1.A...6.,.65..79..3..,.1.9.3.6....,..6......A.B,.....4.9.75C,C.A.2..B4...,...A9..1.6.7,982.B.7.....,1.4......5..,....6.4.8.2.,..9..C2..43.,.4...9.7...6
.926745.B...,......B.....,C.7..6.....A,...483.721.6,1.3....57.B.,..9C...1....,....6...4C..,.B.75....2.8,9.48A.1B5...,6.....7..4.9,.....A......,...3.529A68.
5..C....1...,1.B86.C9...5,6....5A.....,C.1....6.B4.,..A..C...5..,..47...386.A,A.963...48..,..8...6..7..,.15.8....C.2,.....73....4,3...98.A52.B,...4....A..C
8...2...B...,..B..8.6.5.4,C..21.B..76.,......9B...A,.B...28....5,.7...5.389.B,6.84B.5...3.,5....76...8.,A...39......,.69..B.27..C,1.2.8.A..6..,...8...1...3
..2.....C..4,...46.C5..91,....19..87.3,.7.C..8...4.,.......1....,.61B.C4.7...,...3.51.A6B.,....4.......,.C...7..9.8.,C.56..23....,31..9A.C5...,B..A.....3..
..9.42...7..,B...9.A72...,.C....5..3.B,..74...A....,18C......A73,3......8.B2.,.7B.8......9,958......6C1,....B...A5..,6.1..9....B.,...B14.3...6,..3...B2.8..
...75....1C.,86...C.A5B.2,....4...A.6.,...A9....8B6,..B.3.1....C,C7..8.......,.......3..54,3....5.6.2..,BA8....46...,.5.3...1....,4.1BC.A...98,.97....21...
6......813.7,.....1...C4.,1....2.6.8..,..3...6C8.9.,A9...3.57B..,8.1....B...3,4...9....1.B,..218.C...74,.A.3B4...6..,..4.7.2....1,.76...A.....,B.A56......C
.3....A..B.7,.1.B7.8.....,A.2...41..53,16..C.9A..8.,.C..1..82..5,.....4...9..,..7...2.....,9..34..6..1.,.A..59.3..76,65..9A...1.B,.....C.75.6.,7.A..6....9.
4.3.8..5B.6.,.7......1.53,C..61..7..4.,..8...7..4.5,7...3.....C.,..2..B5.7.8.,.2.A.36..C..,.3.....2...A,5.6..8...B..,.8..9..B4..7,2B.4......1.,.A.15..3.8.6
....C...6..3,....A9..2.8.,.8B.4.765.9.,9..4...A7..1,B5....9...2.,6...84....5.,.6....41...7,.3...8....6C,A..16...8..2,.7.69C.B.31.,.C.5..84....,2..9...3....
.........B.3,BC.6.7.4.A..,...95C.12...,A.1.4...76..,....61.....A,.B8...2.1...,...A.8...7B.,1.....7C....,..3C...9.1.2,...71.935...,..9.2.5.B.46,5.4.........
...C..9..7..,...7.54..28.,.59A..6..C..,A..8.635..9.,5C.4B.......,...64.2.....,.....4.1B...,.......B1.3C,.6..3A8.7..4,..7..C..295.,.2B..37.A...,..A..2..8...
..C.A7..9...,..9.8...A...,..71..29....,9..6...2B31.,2....5.6.49.,C..4...1...6,4...1...6..5,.85.6.A....B,.6279...4..1,....46..C2..,...A...C.8..,...9..58.A..
B2...4..6..1,5.8....2..9.,.9..6...B..5,986..32...B.,.......C...6,7.1..6A4..8.,.A..4C7..B.2,6...A.......,.5...28..7A4,3..5...B..C.,.B..7....1.3,2..1..4...7B
......5...3A,.C9..34.B...,.3..B..2.7.5,8.7.1....54.,..19...53.C.,..63.C....8.,.B....1.AC..,.6.15...79..,.A2....6.1.3,2.8.C..B..7.,...A.12..45.,31...5......
7..C...6..9.,.1.9..A...8.,..431C5...6.,.36A..B1...C,..B.C97.5...,C...........,...........A,...6.79A.B..,2...54..671.,.C...214BA..,.6...5..1.C.,.5..B...2..9
1....3.5.A..,A.7...B4.5..,..2.7....4.9,....4..9CB..,71.B.....982,.....B1....3,4....52.....,5A3.....9.76,..69A..8....,8.C....B.2..,..A.84...6.1,..1.C.6....5
2.A.........,..374...B.52,.4C69....A..,.3....9.5...,.74.6.1..B..,...58.7BA41.,.8B932.C6...,..2..9.5.1B.,...4.B....3.,..6....9124.,4A.2...738..,.........5.A
38...1..A...,.....27..1.B,16A24....C.3,.C2..B..85..,.....3...7C.,....6.9.B..2,9..4.6.B....,.13...2.....,..68..A..34.,6.1....348B9,2.B..41.....,...9..C...71
.61.A.8....3,.5...6....8.,..8A9...1...,..6...4....C,B2.5.9.6.4..,9..1...A6B..,..531...B..4,..2.4.5.C.A7,C....3...5..,...9...B8A..,.A....6...1.,1....A.5.2C.
...641...B98,7..2..8....4,....5..A.6..,..7C.5..2..6,.4..6..9..8.,..1...4.A95.,.759.4...8..,.3..8..C..4.,8..B..3.C5..,..C.3..4....,2....9..6..1,963...124...
.C..3.7.829.,23..9...B..1,...82C...56.,C8...23..71A,..4.......3.,....41.....B,9.....13....,.6.......8..,823..A5...B9,.A2...4B1...,3..6...2..5C,.BC1.8.5..4.
......A.....,8..41...9C..,962.B..C1...,.C.27......5,7B4..8......,136..9...BC.,.4C...8..126,......4..A8B,2......54.9.,...C3..7.259,..93...4C..A,.....C......
CB.2..5.....,..39A7..1.2C,.7....1..B6.,..97........,....3..4.2B.,.6.5..C.3..1,4..6.A..2.9.,.9B.8..7....,........C4..,.46..C....1.,9C.3..A165..,.....6..B.83
...5...8.B..,8B...2.C.1..,..965B..3.4.,.4.78.C.1..5,....B52.....,..B...A..9..,..8..4...3..,.....C62....,2..C.1.B4.6.,.8.1..B37C..,..6.C.1...98,..5.7...B...
.6B1....C...,.4...9.7..51,A9.....6....,.C...2.A58..,4.7.....6...,...57C.1.3.9,2.C.B.958...,...B.....C.5,..53C.A...2.,....6.....4A,CB..8.1...3.,...A....B1C.
96..3A.7....,8.4..9B1.7..,...........1,B..5...8.417,..A3........,1.7.C.3.A...,...7.2.C.6.4,........19..,25C.1...8..3,A...........,..3.589..2.B,....B.13..68
.86C........,A..3.4....5C,...B3..8.1A.,.5.1.....C3B,..8..B......,.B.4.9.218..,..157.8.3.6.,......5..2..,462.....C.8.,.CA.4..39...,17....6.5..4,........731.
.5B....3..A.,61....C....2,..C.5.B....1,CA.9.5317...,1...9....63.,...2..A.5...,...3.C..2...,.24....B...7,...C738.4.6B,9....7.5.8..,5....8....9A,.8..6....25.
......73.A5.,..4A..B....2,..75A9..1B..,8..2B...5.C.,..1..5.8....,..B..2...34.,.39...5..8..,....4.1..5..,.5.C...93..6,..23..C5B4..,A....4..C1..,.96.1A......
.1.....9.8.4,....1.2.....,8....7....32,.52.A...86..,C.8.9...5A.7,...6..72...9,7...63..2...,2.34...8.7.C,..CB...7.48.,47....6....5,.....A.3....,A.6.5.....B.
.8...B...A..,..6...58934.,A....6.91...,.214.7......,...9.C..2..5,CB....A...9.,.5...9....B7,1..2..C.8...,......8.C53.,...5B.9....8,.63CA5...4..,..2...7...5.
7.92.....5.B,......B7.98.,6....1.8.74C,..2B..59.C..,.....C.23...,.1...3.....4,2.....1...9.,...13.C.....,..B.25..46..,BC3.9.8....6,.56.4B......,4.8.....CB.A
..3...58..2.,C..1...A..6.,26......85.7,..B..8.32...,..4...12....,.7.....43..C,7..59.....8.,....42...1..,...81.B..C..,3.7C......16,.4..6...9..3,.1..75...4..
.......B...5,.B....8....4,...81.2.9.6.,.7..2....3.6,...18.4.5.27,246..1C...A.,.3...7A..45C,72.4.8.93...,A.5....3..9.,.6.C.5.1A...,5....4....7.,4...3.......
3......82C6.,9.2..7......,...A...3B..1,.8..B3.4.1..,...31.....7.,A1.......8B6,89B.......A4,.A.....B9...,..3.5.89..2.,C..17...8...,......6..4.B,.5682......A
..6......A..,.257..C....3,A.C48..B2..1,5.A3..28.C..,4...C.....A.,.1...3.A...6,2...1.8...5.,.6.....C...9,..1.92..83.7,3..AB..165.4,9....8..A2B.,..4......1..
.C..B.53...1,.4...2...65A,...31....8.C,....5..6.79B,..3....76.2.,....8....53.,.64....5....,.8.AC....9..,972.A..4....,7.9....84...,6BA...4...8.,4...23.9..6.
...5..C..A..,.7..8.3.2.94,3..B6......8,84.6...C.9..,.9....8.3...,5.3..6...C2A,2A4...6..8.1,...C.8....3.,..5.4...A.69,7......61..C,63.1.A.8..5.,..A..1..6...
.7.A1..6.C9.,...1...97..6,......4....2,C1.9.6...84.,..27..C43...,......9.....,.....1......,...67C..29..,.3B...5.C.78,2....3......,4..BA...1...,.89.B..C6.3.
.9.1A....6..,..8..64.A...,.7.4.25....B,B..6..24....,.5...A.68...,8...3....AB1,6B3....2...8,...A9.3...6.,....7B..9..C,3....89.B.5.,...2.7A..1..,..9....C3.8.
....913....2,B..2....341.,.......4.7..,...6..BAC.5.,2..9.35.16..,..C.6...A3..,..23...5.9..,..51.97.6..4,.8.42A..5...,..8.A.......,.76A....2..3,9....841....
7.3.89....52,....B..7...6,.4..26A.8B..,9........C6.,..C7..9....5,8....2C.3...,...9.82....3,4....5..28..,.B8........4,..41.C62..A.,B...9..8....,3A....B4.6.9
.42.....5B7.,7.31.....6A.,5C..7..4..1.,......C..3.A,.....8.A....,...A..93.746,9A1.26..8...,....8.B.....,8.7..3......,.1..A..B..38,.2B.....7A.4,.357.....C9.
C.3....1A...,.8.....5.2.7,542637......,......9.....,4..2B61..9.A,.A..5.2.71..,..4C.8.6..3.,9.A..B3C1..5,.....9......,......69BA73,7.9.8.....5.,...B2....C.8
..23A..8....,..C..4.72...,5B..21..4..C,.26....5.49.,..7..2...C18,1.....A.....,.....5.....7,371...6..9..,.9B.3....5C.,7..2..53..46,...64.7..1..,....6..B87..
..49...A8.36,8.7...B.....,....9.6...2B,..9..3...5..,75..C.19...A,6B.8..4.....,.....A..3.C8,3...7B.1..64,..A...3..2..,18...9.B....,.....C...6.5,46.51...C9..
..9..6..8...,.28...A3..B.,C7....4.2.65,.B5..32..8.A,.6.1C8......,4...9......B,8......9...4,......3C9.A.,9.B..57..31.,A5.B.4....9C,.9..2C...75.,...7..9..B..
43.2...9B...,....1....6C4,9......7..32,......B53..7,54..8A.C..6.,.C......4..5,8..4......5.,.6..7.54..B9,7..1C9......,C1..4......A,294....6....,...5A...2.98
....2C...3..,C6...3..5...,8..7.4...2.A,..A8...3C...,B.C.4A.621..,9...B...6.3.,.8.1...2...7,..6C3.78.4.2,...B1...A5..,A.4...B.7..6,...9..4...53,..8...35....
5.A.6.3.7...,.86.....2...,C3...5....A.,...27..A..3C,8...B..4...1,7..6.1...2..,..3...8.C..9,9...2..1...8,26..4..35...,.4....2...9B,...7.....85.,...5.8.9.3.7
C.3B..1..6.2,5.4...ACB.3.,1.7.......AC,..B..4.81.5A,...6.3.1....,.2....B.....,.....1....C.,....5.C.6...,3C.96.2..B..,41.......5.8,.5.71C...9.6,6.8..7..2C.B
6...843.5..2,1.....A7.6..,..82....A...,7..1...2.4.C,.84..B.63.5.,.6...9.4....,....9.C...2.,.4.56.2..BA.,C.7.A...8..6,...4....73..,..C.18.....4,B..8.573...9
.4..5...B.A.,..A9..1.8634,.7....4.....,...7..B6....,.926....7...,.1...A37.98.,.67.138...4.,...8....379.,....45..1...,.....8....B.,2B1A.6..4C..,.3.C...1..6.
.7....3..9..,52.....B....,A...9....7.B,C..7..B15.4.,.5B..8...3..,...1.2.7A.8.,.1.C8.4.7...,..9...1..82.,.4.A7C..B..3,1.5....2...A,....A.....54,..A..3....6.
.64...B..5A9,A..C..95.6..,..2.7.A.....,....BC....6A,7.......8B.4,.9A.8.1..C7.,.5B..7.4.A3.,3.96.......5,C2....59....,.....1.7.2..,..5.2A..6..B,21C..9...75.
9..A2...51.C,.3....1C....,2......43B..,....7.92..B.,..5...C3....,4..B....A.37,36.5....9..B,....15...4..,.1..C7.9....,..62A......5,....94....7.,A.71...54..6
.19.54..B.C.,..7.3.C...A5,.8C...B9....,.B3...A.....,2.A.B.......,.5..87.2..B3,1C..6.3A..8.,.......4.7.A,.....8...C1.,....25...64.,82...A.B.9..,.9.3..81.57.
.B.1...7.2..,.....4B...9.,9.C2....4B.A,C.1.A7..B6..,7A..3..218..,...98.......,.......36...,..369..B..78,..84..26.C.B,6.AC....89.5,.9...C8.....,..B.5...C.4.
C5.....A9.4.,.B.167......,..A...4C...7,4..8.C.7.3..,.7CA.42B..1.,.....1..4.7.,.4.5..1.....,.1..723.C95.,..7.A.B.8..1,B...25...A..,......C3B.9.,.A.C4.....38
.9.1.....2..,...3.B6215.4,B..2A4.....C,.1.9..8C...3,.....1...7..,...5.39AC.1.,.6.B2A1.7...,..A...5.....,5...76..A.9.,1.....A64..B,3.8A5C4.9...,..B.....5.C.
54.2..C.6.B8,...62.......,B13.5.6.....,.9.742...A.6,.5......B...,...A.B.354C.,.6851.B.7...,...1......8.,3.A...271.6.,.....9.C.324,.......2A...,A2.8.1..9.5B
..3.7.B.6.9.,...6.C.351..,9.4...1...C.,.....4...B.C,.C..86..497.,....B..7.56.,.3C.5..4....,.168..9B..5.,A.2...8.....,.8...3...C.5,..59C.7.1...,.7.4.5.8.3..
6...23.9....,B.3.C8..7..1,.2....A...B.,..B..1...A..,.5..7C..36..,39.8.....1.7,8.4.....1.96,..9B..3C..A.,..5...1..4..,.B...7....4.,7..4..86.B.5,....4.C3...9
9..2.7..4...,.4..A.3...2C,..6.8.4....5,....7..5C2.4,C.26......8A,.8.9...A.1.3,6.9.5...2.3.,32......58.7,8.7CB..2....,B....9.4.7..,26...5.7..A.,...1..C.8..2
.4.7.B.5..1.,......C28.63,..C.7.8..4.A,C....9..41..,...165...8..,......38..C.,.7..C3......,..B...213...,..32..7....9,8.4..A.7.9..,79.542......,.A..8.9.7.B.
...68.3.4..B,2.B..1......,8.739......1,...54..9A..8,B......C24..,..4....8.73.,.6C.7....5..,..291......A,7..A5..38...,C......B31.7,......5..9.2,3..1.9.76...
.....B......,9..64.....2B,7..4....5A8.,....63...C7.,..7.A....1.9,....C87.B4A.,.BA8.75C....,5.6....1.7..,.74...A8....,.539....2..7,AC.....26..5,......4.....
A.5....1C...,...19.B4...8,B2..........,....6..8.72C,..6.B.79..35,853....A..6.,.6..5....B13,14..2C.B.8..,78B.A..6....,..........B2,5...C9.36...,...68....C.9
37C6.8......,...1.....4.8,4.....9..C3.,..8...6...B5,.C...5.7..9.,1..49.8...2.,.1...C.A3..4,.2..5.3...8.,7A...9...2..,.65..7.....3,C.A.....8...,......5.C94B
4.7.1....8..,...B.9.....C,8..A.B....41,3A.C.2.6....,.28.A..4..7.,.B47..9.....,.....1..4B6.,.7..9..A.18.,....5.4.2.CA,73....1.B..5,2.....8.7...,..1....9.2.4
.....C....B9,....6..74..8,892..4....3.,.....3...A6.,4B.79.....5.,.A.9...17..B,7..45...A.9.,.5.....86.7C,.C1...4.....,.1....A..326,B..8C..2....,54....B.....
..A8...12.5.,..C..9.3..A.,4..9.B....18,68...3...1..,C.2...58..7A,......4...B6,37...1......,1A..87...B.C,..4...3...21,79....B.1..5,.C..7.9..A..,.2.43...C7..
....1...A..7,....3..7.4.C,....29...3..,A.3...C9..4.,714..B..8C2.,...2.....97.,.86.....5...,.294..6..8C1,.3..B4...2.6,..A...B6....,3.1.8..5....,5..C...2....
1......A....,...B6.5..C8.,.....B8..713,5..7.6..1.A.,...9...C...6,64..1.2..3B.,.B5..3.9..74,8...C...9...,.1.C..7.B..8,B69..8C.....,.57..9.12...,....5......A
...6.8.5C...,.C.8..B..1..,...71.....8B,.2..95....C6,..8...27...9,C.4..6.17...,...A5.1..C.8,B...7A...9..,53....82..7.,26.....8B...,..3..B..1.4.,...53.9.2...
.1.6.7...C..,..5......9..,.....681A7..,.7.1.A......,AB29..364...,83....9.B...,...A.1....89,...B83..7156,......B.C.4.,..A4752.....,..9......5..,..1...6.3.C.
4C..28..5.A9,32.B49....7.,.....7..4.1.,.B.A.6..2.4.,8....4.....B,....7..3.1..,..8.9..7....,B.....4....7,.4.7..3.6.C.,.8.1..5.....,.3....9C7.51,C5.2..71..86
.....4..A18.,....5..247.9,........2...,.7...CB.8..5,..35A..4.6B1,.6..2.513A.C,6.21C5.B..3.,B4A.1..7C5..,5..7.36...2.,...2........,3.5C9..6....,.976..3.....
.B......5C..,4..3.AB....7,9A.2...CB.3.,7...1C......,5.....2....6,..4.8.5..A1.,.3C..B.4.2..,6....8.....3,......91...C,.1.9A...7.B4,2....96.1..5,..A6......2.
.......AC...,....597..A..,...3.C.27...,6.A8.5..9.7B,.3...6.7..51,.59C.....4.A,C.5.....46B.,94..3.5...2.,2A.6..C.59.8,...A6.9.1...,..6..415....,...B7.......
3.C...4..91.,....6C.8.5.3,....1...4...,.16B7.5...A.,2..A8..3....,.4...1A2.B..,..B.459...3.,....C..A2..7,.C...3.B6A9.,...6...1....,B.4.5.C9....,.75..6...3.A
6.A....1....,B9..45..31..,..1.B6..5.4.,..5......A2.,9..B5...8..6,C..1A......5,8......71..B,7..5...A4..3,.4C......7..,.C.6..18.3..,..28..34..A9,....C....8.1
...8....C.1B,.A.2C8.B..4.,C.....3.6...,3.1..5..A.28,....8...1.B6,.B..46......,......79..A.,A2.9...1....,86.C..A..7.1,...1.3.....A,.C..1.427.6.,B8.7....3...
8.A..6.3.C..,.C.15...A..2,..5....A....,93.5.1..46.C,.14..7.29..5,.........8..,..2.........,1..A7.2..59.,B.39..5.7.8A,....1....3..,3..7...85.1.,..1.6.7..4.9
1.B.........,9.5.4278....,..7..1B.54.2,C16...42A3..,.2.B1..3....,...3.A..1..B,6..9..2.8...,....6..C4.3.,..4CB8...526,2.16.58..A..,....26AB.1.4,.........7.5
...9....8.32,C.....6...7.,...8..53..4.,....3.C.2...,325.4B7.1C..,......A..3.7,7.4..6......,..B5.837.196,...A.4.2....,.1..BC..A...,.9...A.....B,56.B....7...
...2..19B4..,.1..AB......,BC.3......A.,.B.6.......9,..5.9..4.2..,.93.76...8.1,2.A...C3.97.,..C.4..7.3..,9.......5.8.,.5......9.23,......B5..6.,..1867..A...
..........48,8..3..2..1..,.54A..78..C.,..5.9B1.8A.2,..8.4..2357.,.A...5..4...,...2..8...9.,.4317..B.C..,9.B8.43A.2..,.6..A8..143.,..1..3..C..A,38..........
...A.C7.8..3,....9.23..4.,76.......C.9,A9C.8B......,....A...58..,8..2....6..C,3..5....7..4,..4C...6....,......C9.1A5,6.B.......51,.5..48.1....,C..1.95.3...
.6A...3C4..7,C3......5...,...4B..6...C,..7.6..A.5B.,.......71...,.8.9...3276A,2B954...A.8.,...73.......,.18.A..9.B..,5...9..BC...,...B......A8,8..AC6...15.
